Database,Workload,Runs,Average_ms,Min_ms,Max_ms,P50_ms,P95_ms,Concurrency,Duration_s,Read_Ratio,Write_Ratio,Reads,Writes,Total_Operations,Errors,Operations_per_second
CognoDB,Node_Count_Aggregation,100,318.7062,279.2995,430.1006,318.6709,399.2052,,,,,,,,,
Neo4j_Aura,Node_Count_Aggregation,100,91.2082,83.8286,250.0993,89.5829,97.1569,,,,,,,,,
Memgraph,Node_Count_Aggregation,100,198.7517,192.819,211.1932,198.9917,203.7323,,,,,,,,,
FalkorDB,Node_Count_Aggregation,100,1.4117,0.8884,2.2165,1.4251,1.9705,,,,,,,,,
CognoDB,Indexed_Point_Lookup,100,308.7935,273.7831,406.7317,315.5551,362.2945,,,,,,,,,
Neo4j_Aura,Indexed_Point_Lookup,100,76.7491,70.5909,105.6579,75.4845,82.9867,,,,,,,,,
Memgraph,Indexed_Point_Lookup,100,165.71,158.8303,190.2958,164.3246,176.5003,,,,,,,,,
FalkorDB,Indexed_Point_Lookup,100,1.8424,0.7934,3.2203,1.9901,2.6438,,,,,,,,,
CognoDB,1-Hop,100,324.8248,287.6668,434.5569,319.673,384.004,,,,,,,,,
CognoDB,2-Hop,100,320.9539,283.3339,438.0964,319.2102,382.589,,,,,,,,,
CognoDB,3-Hop,100,315.5224,283.1774,435.4559,314.551,377.697,,,,,,,,,
Neo4j_Aura,1-Hop,100,77.687,73.4385,113.7447,76.0382,83.693,,,,,,,,,
Neo4j_Aura,2-Hop,100,77.5485,72.7751,92.6762,76.2175,84.8496,,,,,,,,,
Neo4j_Aura,3-Hop,100,78.0629,73.2611,103.3888,77.0922,86.0156,,,,,,,,,
Memgraph,1-Hop,100,174.7893,163.0388,215.6786,174.7189,182.7904,,,,,,,,,
Memgraph,2-Hop,100,170.8149,162.4043,188.9746,166.682,184.2996,,,,,,,,,
Memgraph,3-Hop,100,178.8033,162.8211,445.3391,174.8867,191.1056,,,,,,,,,
FalkorDB,1-hop,100,4.5598,2.4175,7.4055,4.7606,6.5693,,,,,,,,,
FalkorDB,2-hop,100,7.8119,4.6144,14.8299,7.7279,11.47,,,,,,,,,
FalkorDB,3-hop,100,33.5168,17.9211,48.4344,33.7526,43.4674,,,,,,,,,
CognoDB,,,,,,,,1,30.26,0.8,0.19999999999999996,75,19,94,0,3.11
CognoDB,,,,,,,,10,30.59,0.8,0.19999999999999996,539,138,677,0,22.13
CognoDB,,,,,,,,40,42.0,0.8,0.19999999999999996,518,115,633,0,15.07
Neo4j_Aura,,,,,,,,1,30.07,0.8,0.19999999999999996,254,56,310,0,10.31
Neo4j_Aura,,,,,,,,10,30.07,0.8,0.19999999999999996,2890,703,3593,0,119.48
Neo4j_Aura,,,,,,,,40,30.09,0.8,0.19999999999999996,10895,2741,13636,0,453.23
Memgraph,,,,,,,,1,30.02,0.8,0.19999999999999996,144,36,180,0,6.0
Memgraph,,,,,,,,10,30.08,0.8,0.19999999999999996,1418,329,1747,0,58.08
Memgraph,,,,,,,,40,30.16,0.8,0.19999999999999996,5564,1382,6946,2,230.27
FalkorDB,,,,,,,,1,30.0,0.8,0.2,11788,2963,14751,0,491.63
FalkorDB,,,,,,,,10,30.05,0.8,0.2,36982,9371,46353,0,1542.55
FalkorDB,,,,,,,,40,30.47,0.8,0.2,36545,8989,45534,0,1494.16
