Database,Workload,Average_ms,CognoDB_Average_ms,Speedup_vs_CognoDB
CognoDB,Node_Count_Aggregation,318.7062,318.7062,1.0
Neo4j_Aura,Node_Count_Aggregation,91.2082,318.7062,3.49
Memgraph,Node_Count_Aggregation,198.7517,318.7062,1.6
FalkorDB,Node_Count_Aggregation,1.4117,318.7062,225.76
CognoDB,Indexed_Point_Lookup,308.7935,308.7935,1.0
Neo4j_Aura,Indexed_Point_Lookup,76.7491,308.7935,4.02
Memgraph,Indexed_Point_Lookup,165.71,308.7935,1.86
FalkorDB,Indexed_Point_Lookup,1.8424,308.7935,167.6
CognoDB,1-Hop,324.8248,324.8248,1.0
CognoDB,2-Hop,320.9539,320.9539,1.0
CognoDB,3-Hop,315.5224,315.5224,1.0
Neo4j_Aura,1-Hop,77.687,324.8248,4.18
Neo4j_Aura,2-Hop,77.5485,320.9539,4.14
Neo4j_Aura,3-Hop,78.0629,315.5224,4.04
Memgraph,1-Hop,174.7893,324.8248,1.86
Memgraph,2-Hop,170.8149,320.9539,1.88
Memgraph,3-Hop,178.8033,315.5224,1.76
FalkorDB,1-Hop,4.5598,324.8248,71.24
FalkorDB,2-Hop,7.8119,320.9539,41.09
FalkorDB,3-Hop,33.5168,315.5224,9.41
